prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0.
29: connectedNodes=(28, 14), range=[0:14], left_bound=0, right_bound=14.
30: connectedNodes=(29, 15), range=[0:15], left_bound=0, right_bound=15.
area:
31
delay:
15

prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1.
17: connectedNodes=(2, 3), range=[2:3], left_bound=2, right_bound=3.
18: connectedNodes=(4, 5), range=[4:5], left_bound=4, right_bound=5.
19: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7.
20: connectedNodes=(8, 9), range=[8:9], left_bound=8, right_bound=9.
21: connectedNodes=(10, 11), range=[10:11], left_bound=10, right_bound=11.
22: connectedNodes=(12, 13), range=[12:13], left_bound=12, right_bound=13.
23: connectedNodes=(14, 15), range=[14:15], left_bound=14, right_bound=15.
24: connectedNodes=(16, 17), range=[0:3], left_bound=0, right_bound=3.
25: connectedNodes=(18, 19), range=[4:7], left_bound=4, right_bound=7.
26: connectedNodes=(20, 21), range=[8:11], left_bound=8, right_bound=11.
27: connectedNodes=(22, 23), range=[12:15], left_bound=12, right_bound=15.
28: connectedNodes=(24, 25), range=[0:7], left_bound=0, right_bound=7.
29: connectedNodes=(26, 27), range=[8:15], left_bound=8, right_bound=15.
30: connectedNodes=(28, 29), range=[0:15], left_bound=0, right_bound=15.
31: connectedNodes=(16, 2), range=[0:2], left_bound=0, right_bound=2.
32: connectedNodes=(24, 4), range=[0:4], left_bound=0, right_bound=4.
33: connectedNodes=(32, 5), range=[0:5], left_bound=0, right_bound=5.
34: connectedNodes=(33, 6), range=[0:6], left_bound=0, right_bound=6.
35: connectedNodes=(28, 8), range=[0:8], left_bound=0, right_bound=8.
36: connectedNodes=(35, 9), range=[0:9], left_bound=0, right_bound=9.
37: connectedNodes=(36, 10), range=[0:10], left_bound=0, right_bound=10.
38: connectedNodes=(37, 11), range=[0:11], left_bound=0, right_bound=11.
39: connectedNodes=(38, 12), range=[0:12], left_bound=0, right_bound=12.
40: connectedNodes=(39, 13), range=[0:13], left_bound=0, right_bound=13.
41: connectedNodes=(40, 14), range=[0:14], left_bound=0, right_bound=14.
area:
42
delay:
10

prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1.
17: connectedNodes=(16, 2), range=[0:2], left_bound=0, right_bound=2.
18: connectedNodes=(17, 3), range=[0:3], left_bound=0, right_bound=3.
19: connectedNodes=(18, 4), range=[0:4], left_bound=0, right_bound=4.
20: connectedNodes=(19, 5), range=[0:5], left_bound=0, right_bound=5.
21: connectedNodes=(20, 6), range=[0:6], left_bound=0, right_bound=6.
22: connectedNodes=(21, 7), range=[0:7], left_bound=0, right_bound=7.
23: connectedNodes=(22, 8), range=[0:8], left_bound=0, right_bound=8.
24: connectedNodes=(23, 9), range=[0:9], left_bound=0, right_bound=9.
25: connectedNodes=(24, 10), range=[0:10], left_bound=0, right_bound=10.
26: connectedNodes=(25, 11), range=[0:11], left_bound=0, right_bound=11.
27: connectedNodes=(26, 12), range=[0:12], left_bound=0, right_bound=12.
28: connectedNodes=(27, 13), range=[0:13], left_bound=0, right_bound=13.
29: connectedNodes=(28, 14), range=[0:14], left_bound=0, right_bound=14.
30: connectedNodes=(29, 15), range=[0:15], left_bound=0, right_bound=15.
area:
31
delay:
15

prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1.
17: connectedNodes=(2, 3), range=[2:3], left_bound=2, right_bound=3.
18: connectedNodes=(4, 5), range=[4:5], left_bound=4, right_bound=5.
19: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7.
20: connectedNodes=(8, 9), range=[8:9], left_bound=8, right_bound=9.
21: connectedNodes=(10, 11), range=[10:11], left_bound=10, right_bound=11.
22: connectedNodes=(12, 13), range=[12:13], left_bound=12, right_bound=13.
23: connectedNodes=(14, 15), range=[14:15], left_bound=14, right_bound=15.
24: connectedNodes=(16, 17), range=[0:3], left_bound=0, right_bound=3.
25: connectedNodes=(18, 19), range=[4:7], left_bound=4, right_bound=7.
26: connectedNodes=(20, 21), range=[8:11], left_bound=8, right_bound=11.
27: connectedNodes=(22, 23), range=[12:15], left_bound=12, right_bound=15.
28: connectedNodes=(24, 25), range=[0:7], left_bound=0, right_bound=7.
29: connectedNodes=(26, 27), range=[8:15], left_bound=8, right_bound=15.
30: connectedNodes=(28, 29), range=[0:15], left_bound=0, right_bound=15.
31: connectedNodes=(16, 2), range=[0:2], left_bound=0, right_bound=2.
32: connectedNodes=(24, 4), range=[0:4], left_bound=0, right_bound=4.
33: connectedNodes=(32, 5), range=[0:5], left_bound=0, right_bound=5.
34: connectedNodes=(33, 6), range=[0:6], left_bound=0, right_bound=6.
35: connectedNodes=(28, 8), range=[0:8], left_bound=0, right_bound=8.
36: connectedNodes=(35, 9), range=[0:9], left_bound=0, right_bound=9.
37: connectedNodes=(36, 10), range=[0:10], left_bound=0, right_bound=10.
38: connectedNodes=(37, 11), range=[0:11], left_bound=0, right_bound=11.
39: connectedNodes=(38, 12), range=[0:12], left_bound=0, right_bound=12.
40: connectedNodes=(39, 13), range=[0:13], left_bound=0, right_bound=13.
41: connectedNodes=(40, 14), range=[0:14], left_bound=0, right_bound=14.
area:
42
delay:
10

prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1.
17: connectedNodes=(2, 3), range=[2:3], left_bound=2, right_bound=3.
18: connectedNodes=(16, 17), range=[0:3], left_bound=0, right_bound=3.
19: connectedNodes=(4, 5), range=[4:5], left_bound=4, right_bound=5.
20: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7.
21: connectedNodes=(19, 20), range=[4:7], left_bound=4, right_bound=7.
22: connectedNodes=(18, 21), range=[0:7], left_bound=0, right_bound=7.
23: connectedNodes=(8, 9), range=[8:9], left_bound=8, right_bound=9.
24: connectedNodes=(10, 11), range=[10:11], left_bound=10, right_bound=11.
25: connectedNodes=(23, 24), range=[8:11], left_bound=8, right_bound=11.
26: connectedNodes=(22, 25), range=[0:11], left_bound=0, right_bound=11.
27: connectedNodes=(12, 13), range=[12:13], left_bound=12, right_bound=13.
28: connectedNodes=(14, 15), range=[14:15], left_bound=14, right_bound=15.
29: connectedNodes=(27, 28), range=[12:15], left_bound=12, right_bound=15.
30: connectedNodes=(26, 29), range=[0:15], left_bound=0, right_bound=15.
31: connectedNodes=(1, 2), range=[1:2], left_bound=1, right_bound=2.
32: connectedNodes=(18, 4), range=[0:4], left_bound=0, right_bound=4.
33: connectedNodes=(7, 8), range=[7:8], left_bound=7, right_bound=8.
34: connectedNodes=(11, 12), range=[11:12], left_bound=11, right_bound=12.
35: connectedNodes=(0, 31), range=[0:2], left_bound=0, right_bound=2.
36: connectedNodes=(18, 19), range=[0:5], left_bound=0, right_bound=5.
37: connectedNodes=(36, 6), range=[0:6], left_bound=0, right_bound=6.
38: connectedNodes=(37, 33), range=[0:8], left_bound=0, right_bound=8.
39: connectedNodes=(38, 9), range=[0:9], left_bound=0, right_bound=9.
40: connectedNodes=(39, 10), range=[0:10], left_bound=0, right_bound=10.
41: connectedNodes=(26, 27), range=[0:13], left_bound=0, right_bound=13.
42: connectedNodes=(27, 14), range=[12:14], left_bound=12, right_bound=14.
43: connectedNodes=(26, 42), range=[0:14], left_bound=0, right_bound=14.
44: connectedNodes=(26, 12), range=[0:12], left_bound=0, right_bound=12.
area:
45
delay:
7

prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1.
17: connectedNodes=(2, 3), range=[2:3], left_bound=2, right_bound=3.
18: connectedNodes=(4, 5), range=[4:5], left_bound=4, right_bound=5.
19: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7.
20: connectedNodes=(8, 9), range=[8:9], left_bound=8, right_bound=9.
21: connectedNodes=(10, 11), range=[10:11], left_bound=10, right_bound=11.
22: connectedNodes=(12, 13), range=[12:13], left_bound=12, right_bound=13.
23: connectedNodes=(14, 15), range=[14:15], left_bound=14, right_bound=15.
24: connectedNodes=(16, 17), range=[0:3], left_bound=0, right_bound=3.
25: connectedNodes=(18, 19), range=[4:7], left_bound=4, right_bound=7.
26: connectedNodes=(20, 21), range=[8:11], left_bound=8, right_bound=11.
27: connectedNodes=(22, 23), range=[12:15], left_bound=12, right_bound=15.
28: connectedNodes=(24, 25), range=[0:7], left_bound=0, right_bound=7.
29: connectedNodes=(26, 27), range=[8:15], left_bound=8, right_bound=15.
30: connectedNodes=(28, 29), range=[0:15], left_bound=0, right_bound=15.
31: connectedNodes=(16, 2), range=[0:2], left_bound=0, right_bound=2.
32: connectedNodes=(24, 4), range=[0:4], left_bound=0, right_bound=4.
33: connectedNodes=(32, 5), range=[0:5], left_bound=0, right_bound=5.
34: connectedNodes=(33, 6), range=[0:6], left_bound=0, right_bound=6.
35: connectedNodes=(28, 8), range=[0:8], left_bound=0, right_bound=8.
36: connectedNodes=(35, 9), range=[0:9], left_bound=0, right_bound=9.
37: connectedNodes=(36, 10), range=[0:10], left_bound=0, right_bound=10.
38: connectedNodes=(37, 11), range=[0:11], left_bound=0, right_bound=11.
39: connectedNodes=(38, 12), range=[0:12], left_bound=0, right_bound=12.
40: connectedNodes=(39, 13), range=[0:13], left_bound=0, right_bound=13.
41: connectedNodes=(40, 14), range=[0:14], left_bound=0, right_bound=14.
area:
42
delay:
10

prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1.
17: connectedNodes=(16, 2), range=[0:2], left_bound=0, right_bound=2.
18: connectedNodes=(17, 3), range=[0:3], left_bound=0, right_bound=3.
19: connectedNodes=(18, 4), range=[0:4], left_bound=0, right_bound=4.
20: connectedNodes=(19, 5), range=[0:5], left_bound=0, right_bound=5.
21: connectedNodes=(20, 6), range=[0:6], left_bound=0, right_bound=6.
22: connectedNodes=(21, 7), range=[0:7], left_bound=0, right_bound=7.
23: connectedNodes=(22, 8), range=[0:8], left_bound=0, right_bound=8.
24: connectedNodes=(23, 9), range=[0:9], left_bound=0, right_bound=9.
25: connectedNodes=(24, 10), range=[0:10], left_bound=0, right_bound=10.
26: connectedNodes=(25, 11), range=[0:11], left_bound=0, right_bound=11.
27: connectedNodes=(26, 12), range=[0:12], left_bound=0, right_bound=12.
28: connectedNodes=(27, 13), range=[0:13], left_bound=0, right_bound=13.
29: connectedNodes=(28, 14), range=[0:14], left_bound=0, right_bound=14.
30: connectedNodes=(29, 15), range=[0:15], left_bound=0, right_bound=15.
area:
31
delay:
15

prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1.
17: connectedNodes=(2, 3), range=[2:3], left_bound=2, right_bound=3.
18: connectedNodes=(4, 5), range=[4:5], left_bound=4, right_bound=5.
19: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7.
20: connectedNodes=(8, 9), range=[8:9], left_bound=8, right_bound=9.
21: connectedNodes=(10, 11), range=[10:11], left_bound=10, right_bound=11.
22: connectedNodes=(12, 13), range=[12:13], left_bound=12, right_bound=13.
23: connectedNodes=(14, 15), range=[14:15], left_bound=14, right_bound=15.
24: connectedNodes=(16, 17), range=[0:3], left_bound=0, right_bound=3.
25: connectedNodes=(18, 19), range=[4:7], left_bound=4, right_bound=7.
26: connectedNodes=(20, 21), range=[8:11], left_bound=8, right_bound=11.
27: connectedNodes=(22, 23), range=[12:15], left_bound=12, right_bound=15.
28: connectedNodes=(24, 25), range=[0:7], left_bound=0, right_bound=7.
29: connectedNodes=(26, 27), range=[8:15], left_bound=8, right_bound=15.
30: connectedNodes=(28, 29), range=[0:15], left_bound=0, right_bound=15.
31: connectedNodes=(16, 2), range=[0:2], left_bound=0, right_bound=2.
32: connectedNodes=(24, 4), range=[0:4], left_bound=0, right_bound=4.
33: connectedNodes=(32, 5), range=[0:5], left_bound=0, right_bound=5.
34: connectedNodes=(33, 6), range=[0:6], left_bound=0, right_bound=6.
35: connectedNodes=(28, 8), range=[0:8], left_bound=0, right_bound=8.
36: connectedNodes=(35, 9), range=[0:9], left_bound=0, right_bound=9.
37: connectedNodes=(36, 10), range=[0:10], left_bound=0, right_bound=10.
38: connectedNodes=(37, 11), range=[0:11], left_bound=0, right_bound=11.
39: connectedNodes=(38, 12), range=[0:12], left_bound=0, right_bound=12.
40: connectedNodes=(39, 13), range=[0:13], left_bound=0, right_bound=13.
41: connectedNodes=(40, 14), range=[0:14], left_bound=0, right_bound=14.
area:
42
delay:
10

prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4.
